app_id,name,date_release,price,description,languages,image_url,web_url,platform_windows,platform_mac,platform_linux,developers,categories,genres,rating
1,Team Fortress 2,"Oct 10, 2007",0.0,"Play as much as you want, as long as you like! The most highly-rated free game of all time! One of the most popular online action games of all time, Team Fortress 2 delivers constant free updates—new game modes, maps, equipment and, most importantly, hats. Nine distinct classes provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills. New to TF? Don’t sweat it! No matter what your style and experience, we’ve got a character for you. Detailed training and offline practice modes will help you hone your skills before jumping into one of TF2’s many game modes, including Capture the Flag, Control Point, Payload, Arena, King of the Hill and more. Make a character your own! There are hundreds of weapons, hats and more to collect, craft, buy and trade. Tweak your favorite class to suit your gameplay style and personal taste. You don’t need to pay to win—virtually all of the items in the Mann Co. Store can also be found in-game.","['English', 'Danish', 'Dutch', 'Finnish', 'French', 'German', 'Italian', 'Japanese', 'Norwegian', 'Polish', 'Portuguese', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Korean', 'Czech', 'Hungarian', 'Portuguese - Brazil', 'Turkish', 'Greek', 'Bulgarian', 'Romanian', 'Thai', 'Ukrainian']",https://cdn.akamai.steamstatic.com/steam/apps/440/header.jpg?t=1592263852,http://www.teamfortress.com/,True,True,True,Valve,"multiplayer,crossplatformmultiplayer,steamachievements,steamtradingcards,captionsavailable,steamworkshop,inapppurchases,partialcontrollersupport,valveanticheatenabled,stats,includesleveleditor,commentaryavailable,remoteplayonphone,remoteplayontablet","action,f2p",0.93561501
2,Left 4 Dead 2,"Nov 16, 2009",9.99,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns. You'll play as one of four new survivors armed with a wide and devastating array of classic and upgraded weapons. In addition to firearms, you'll also get a chance to take out some aggression on infected with a variety of carnage-creating melee weapons, from chainsaws to axes and even the deadly frying pan. You'll be putting these weapons to the test against (or playing as in Versus) three horrific and formidable new Special Infected. You'll also encounter five new uncommon common infected, including the terrifying Mudmen. Helping to take L4D's frantic, action-packed gameplay to the next level is AI Director 2.0. This improved Director has the ability to procedurally change the weather you'll fight through and the pathways you'll take, in addition to tailoring the enemy population, effects, and sounds to match your performance. L4D2 promises a satisfying and uniquely challenging experience every time the game is played, custom-fitted to your style of play. Next generation co-op action gaming from the makers of Half-Life, Portal, Team Fortress and Counter-Strike. Over 20 new weapons &amp; items headlined by over 10 melee weapons – axe, chainsaw, frying pan, baseball bat – allow you to get up close with the zombies New survivors. New Story. New dialogue. Five expansive campaigns for co-operative, Versus and Survival game modes. An all new multiplayer mode. Uncommon common infected. Each of the five new campaigns contains at least one new uncommon common zombies which are exclusive to that campaign.","['Danish', 'Dutch', 'English', 'Finnish', 'French', 'German', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Traditional Chinese', 'Hungarian', 'Turkish', 'Bulgarian', 'Czech', 'Greek', 'Portuguese - Brazil', 'Romanian', 'Spanish - Latin America', 'Thai', 'Ukrainian', 'Vietnamese']",https://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1657220736,http://www.l4d.com,True,True,True,Valve,"singleplayer,multiplayer,pvp,onlinepvp,coop,onlinecoop,steamachievements,fullcontrollersupport,steamtradingcards,captionsavailable,steamworkshop,steamcloud,valveanticheatenabled,stats,includessourcesdk,commentaryavailable,remoteplayonphone,remoteplayontablet,remoteplayontv,remoteplaytogether",action,0.974508425
3,Dota 2,"Jul 9, 2013",0.0,"The most-played game on Steam. Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has truly taken on a life of its own. One Battlefield. Infinite Possibilities. When it comes to diversity of heroes, abilities, and powerful items, Dota boasts an endless array—no two games are the same. Any hero can fill multiple roles, and there's an abundance of items to help meet the needs of each game. Dota doesn't provide limitations on how to play, it empowers you to express your own style. All heroes are free. Competitive balance is Dota's crown jewel, and to ensure everyone is playing on an even field, the core content of the game—like the vast pool of heroes—is available to all players. Fans can collect cosmetics for heroes and fun add-ons for the world they inhabit, but everything you need to play is already included before you join your first match. Bring your friends and party up. Dota is deep, and constantly evolving, but it's never too late to join. Learn the ropes playing co-op vs. bots. Sharpen your skills in the hero demo mode. Jump into the behavior- and skill-based matchmaking system that ensures you'll be matched with the right players each game.","['Bulgarian', 'Czech', 'Danish', 'Dutch', 'English', 'Finnish', 'French', 'German', 'Greek', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian', 'Spanish - Latin America', 'Vietnamese']",https://cdn.akamai.steamstatic.com/steam/apps/570/header.jpg?t=1658774750,http://www.dota2.com/,True,True,True,Valve,"multiplayer,coop,steamtradingcards,steamworkshop,steamvrcollectibles,inapppurchases,valveanticheatenabled","action,f2p,strategy",0.830986335
4,Portal 2,"Apr 18, 2011",9.99,"Portal 2 draws from the award-winning formula of innovative gameplay, story, and music that earned the original Portal over 70 industry accolades and created a cult following. The single-player portion of Portal 2 introduces a cast of dynamic new characters, a host of fresh puzzle elements, and a much larger set of devious test chambers. Players will explore never-before-seen areas of the Aperture Science Labs and be reunited with GLaDOS, the occasionally murderous computer companion who guided them through the original game. The game’s two-player cooperative mode features its own entirely separate campaign with a unique story, test chambers, and two new player characters. This new mode forces players to reconsider everything they thought they knew about portals. Success will require them to not just act cooperatively, but to think cooperatively. Product Features Extensive single player: Featuring next generation gameplay and a wildly-engrossing story. Complete two-person co-op: Multiplayer game featuring its own dedicated story, characters, and gameplay. Advanced physics: Allows for the creation of a whole new range of interesting challenges, producing a much larger but not harder game. Original music. Massive sequel: The original Portal was named 2007's Game of the Year by over 30 publications worldwide. Editing Tools: Portal 2 editing tools will be included.","['English', 'French', 'German', 'Spanish - Spain', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Romanian', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish']",https://cdn.akamai.steamstatic.com/steam/apps/620/header.jpg?t=1610490805,http://www.thinkwithportals.com/,True,True,True,Valve,"singleplayer,multiplayer,coop,onlinecoop,sharedsplitscreencoop,sharedsplitscreen,steamachievements,fullcontrollersupport,steamtradingcards,captionsavailable,steamworkshop,steamworkshop,steamcloud,stats,includesleveleditor,commentaryavailable,remoteplayonphone,remoteplayontablet,remoteplayontv,remoteplaytogether","action,adventure",0.987951169
5,Counter-Strike: Global Offensive,"Aug 21, 2012",0.0,"Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.). 'Counter-Strike took the gaming industry by surprise when the unlikely MOD became the most played online PC action game in the world almost immediately after its release in August 1999,' said Doug Lombardi at Valve. 'For the past 12 years, it has continued to be one of the most-played games in the world, headline competitive gaming tournaments and selling over 25 million units worldwide across the franchise. CS: GO promises to expand on CS' award-winning gameplay and deliver it to gamers on the PC as well as the next gen consoles and the Mac.'","['Czech', 'Danish', 'Dutch', 'English', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Bulgarian', 'Ukrainian', 'Greek', 'Spanish - Latin America', 'Vietnamese']",https://cdn.akamai.steamstatic.com/steam/apps/730/header.jpg?t=1641233427,http://blog.counter-strike.net/,True,True,True,Valve,"multiplayer,steamachievements,fullcontrollersupport,steamtradingcards,steamworkshop,inapppurchases,valveanticheatenabled,stats,remoteplayonphone,remoteplayontablet,remoteplayontv","action,f2p",0.882611298
6,Garry's Mod,"Nov 29, 2006",9.99,"Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play. You spawn objects and weld them together to create your own contraptions - whether that's a car, a rocket, a catapult or something that doesn't have a name yet - that's up to you. You can do it offline, or join the thousands of players who play online each day. If you're not too great at construction - don't worry! You can place a variety of characters in silly positions. But if you want to do more, we have the means. Beyond the Sandbox The Garry's Mod community is a tremendous source of content and has added hundreds of unique modes to the game. In Trouble In Terrorist Town, you can be a detective solving an online murder as criminals attempt to cover up their homicides. Be a ball, a plant, a chair, or anything else in Prop Hunt's elaborate, shape-shifting game of Hide &amp; Seek. Elevator: Source is gaming's first elevator thrill ride, delivering players to airlocks and kitten dance parties. We have one of the most vibrant Steam Community Workshops, with over 300'000 models, maps, and contraptions to download. It has everything from new tools to improve your builds, to guns that fire rainbow-tinged nuclear blasts from space. Take as much or as little as you need: it’s all free. Please note: Some multiplayer servers and game-modes might require you to own other games - such as Counter-Strike: Source and Team Fortress 2.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Bulgarian', 'Czech', 'Danish', 'Dutch', 'Finnish', 'Greek', 'Hungarian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Ukrainian']",https://cdn.akamai.steamstatic.com/steam/apps/4000/header.jpg?t=1617307042,https://gmod.facepunch.com,True,True,True,Facepunch Studios,"singleplayer,multiplayer,pvp,onlinepvp,lanpvp,coop,onlinecoop,lancoop,crossplatformmultiplayer,steamachievements,steamtradingcards,captionsavailable,steamworkshop,steamcloud,valveanticheatenabled,includesleveleditor,remoteplayontablet","indie,simulation",0.965930955
7,Borderlands 2,"Sep 17, 2012",19.99,"A new era of shoot and loot is about to begin. Play as one of four new vault hunters facing off against a massive new world of creatures, psychos and the evil mastermind, Handsome Jack. Make new friends, arm them with a bazillion weapons and fight alongside them in 4 player co-op on a relentless quest for revenge and redemption across the undiscovered and unpredictable living planet. Key Features: All-New Characters and All-New Classes: Four all new playable classes including the Siren, the Commando, the Gunzerker and the Assassin. Step into the role of the Gunzerker, whose highly deadly skills allow him to dual-wield any two weapons found in the game. Not only that, you will build on that skill to do more things with two guns than you ever imagined possible. Dual machine guns? Cool. Dual rocket launchers? Of course! Dual Sniper Rifles? Sure, if that’s your thing! Want to try other styles? More tactical perhaps? There are multiple classes to choose from! Dynamic Co-op online, and LAN: Share your adventures with friends both online and via LAN. Borderlands 2 features a seamless system enabling you to drop in and drop out of a campaign without ever having to restart the game. On top of that you can even take your new gear from any game to any other! World Connected Story: Find yourself left for dead in the frozen tundra of Pandora as you begin your quest of revenge and redemption. Expose the evil surrounding the Hyperion Corporation and take on the perpetrator of a universe-wide grand deception -- the nefarious Hyperion CEO, Handsome Jack. (Oh, also: he's stolen credit for the opening of the Vault.) 87 Bazillion...Everything: In addition to the new gun system, you will lust after procedurally generated shields, grenades, Relics, class mods and much, much more. And you thought the original Borderlands had a ton of loot! Brand new environments on Pandora: Hunt through entirely brand new areas of Pandora that are more alive than ever! From the arctic tundra, through the dangerous grasslands, past the mysterious corrosive caverns to beyond, you’ll be surprised by the unpredictable world of Pandora at every turn! Brand new enemies: A whole slew of new enemies are out there to kill you in Borderlands 2. Hulking, gorilla-like Bullymongs, vicious predatory Stalkers and the Hyperion mechanical army, run by Handsome Jack, are just some of the new enemies in Borderlands 2.","['English', 'French', 'German', 'Italian', 'Japanese', 'Spanish - Spain', 'Korean', 'Traditional Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/49520/header.jpg?t=1645058069,https://www.2k.com/en-US/game/borderlands-2/,True,True,True,Gearbox Software,"singleplayer,multiplayer,coop,steamachievements,fullcontrollersupport,steamtradingcards,steamcloud,remoteplayonphone,remoteplayontablet,remoteplayontv","action,rpg",0.937248985
8,The Elder Scrolls V: Skyrim,"Nov 10, 2011",19.99,"EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. LIVE ANOTHER LIFE, IN ANOTHER WORLD Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. ALL NEW GRAPHICS AND GAMEPLAY ENGINE Skyrim’s new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. YOU ARE WHAT YOU PLAY Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. DRAGON RETURN Battle ancient dragons like you’ve never seen. As Dragonborn, learn their secrets and harness their power for yourself.","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Japanese', 'Czech', 'Polish', 'Russian']",https://cdn.akamai.steamstatic.com/steam/apps/72850/header.jpg?t=1647357402,http://elderscrolls.com/,True,False,False,Bethesda Game Studios,"singleplayer,steamachievements,steamtradingcards,steamworkshop,partialcontrollersupport,steamcloud",rpg,0.948269688
9,Terraria,"May 16, 2011",9.99,"Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours! Blending elements of classic action games with the freedom of sandbox-style creativity, Terraria is a unique gaming experience where both the journey and the destination are completely in the player’s control. The Terraria adventure is truly as unique as the players themselves! Are you up for the monumental task of exploring, creating, and defending a world of your own? Key features: Sandbox Play Randomly generated worlds Free Content Updates","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",https://cdn.akamai.steamstatic.com/steam/apps/105600/header.jpg?t=1590092560,http://www.terraria.org/,True,True,True,Re-Logic,"singleplayer,multiplayer,pvp,onlinepvp,coop,onlinecoop,steamachievements,fullcontrollersupport,steamtradingcards,steamcloud,remoteplayonphone,remoteplayontablet,remoteplayontv","action,adventure,indie,rpg",0.978657785
10,Arma 3,"Sep 12, 2013",29.99,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war. Key Features in Arma 3 Altis &amp; Stratis Defeat your enemy on a richly detailed, open-world battlefield – stretching over 290 km² of Mediterranean island terrain. From expansive cities to rolling hills, whether steamrolling your tank across the dusty plains, flying a transport helicopter over the dense forests, or waging asymmetric warfare from the rocky hills, the islands of Altis and Stratis are dynamic worlds, which lend themselves to the most varied engagements in gaming. Weapons &amp; Vehicles Head into combat on foot, drive armored vehicles, or take to the skies in helicopters and jets. Conduct a combined arms attack over air, land, and sea, with over 20 vehicles to drive and pilot, 40+ weapons to pick from, customizable loadouts with short- and long-distance attachments, and various types of gear to suit your needs on the battlefield. With a massive arsenal at your disposal, Arma 3 moves you into a world of tactical opportunities. Singleplayer Follow the story of Ben Kerry, a soldier who gets caught up in a Mediterranean flashpoint, across three gameplay-driven campaign episodes: Survive, Adapt, Win. Immerse yourself in Arma 3’s diverse gameplay by completing the focused showcase scenarios. Run through the competitive firing drills to hone your shooting and movement skills, and complete your training by signing up to Arma 3 Bootcamp, which features SP and MP tutorials, and a dedicated Virtual Reality practice environment. Multiplayer Fight online in the massive military sandbox that is Arma 3. Form a squad and team up against your enemy in the official Defend and Seize multiplayer scenarios. Or jump into one of the many popular unofficial game modes developed by the Arma 3 community. Experience a new form of multiplayer in Arma 3 Zeus, where Game Masters have the ability to influence the battlefield of other players in real-time. Content Creation Start creating your own experiences with Arma 3’s intuitive scenario editor and powerful modding tools. Enjoy a platform filled with player-created content, ranging from custom weapons and vehicles, to intense singleplayer scenarios and entirely new multiplayer game modes. Share and discover content on the Arma 3 Steam Workshop, which lets you install player-created content with a click of a button. Revamped Engine Navigate the battlefield with fluid new animations; feel the devastating power of combat with the upgraded sound engine, new ragdoll simulation and PhysX™-supported vehicles. Pushed forward by game-changing innovations, the highly moddable Real Virtuality™ 4 engine powers a new generation of Arma with even more stunning graphics, broad simulation gameplay, and massive sandbox terrains.","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Czech', 'Polish', 'Portuguese - Brazil', 'Russian', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Turkish']",https://cdn.akamai.steamstatic.com/steam/apps/107410/header.jpg?t=1655998601,http://www.arma3.com,True,False,False,Bohemia Interactive,"singleplayer,multiplayer,pvp,onlinepvp,lanpvp,coop,onlinecoop,lancoop,steamachievements,steamtradingcards,captionsavailable,steamworkshop,partialcontrollersupport,steamleaderboards,includesleveleditor","action,simulation,strategy",0.90365573
